status_id,status_message,link_name,status_type,status_link,status_time,num_likes,num_comments,num_shares
15087023444_315341191811658,"b""Zlatan Ibrahimovic was crafted for destruction:\n\nTouting 166 goals as a pro footballer, the Swedish striker lets nothing and no one stand in the way of a win. Dreaded by opponents, and loved by fans, Zlatan Ibrahimovic wears victory on his skin.\n\nWith a UEFA Champions League winners' medal on the line, Ibra now goes head-to-head with the team he once called his own. \n\nCheck out Ibra's Nike Sportswear Bespoke Destroyer jacket, inspired by his own iconic tattoos.""",b'Zlatan Ibrahimovic is Crafted for Destruction: Presented by Nike Sportswear',link,http://www.youtube.com/watch?v=gIpdnmKGDgk,2011-11-21 14:37:34,0,56,100
15087023444_265887260124290,"b'In this Nike Snowboarding tribute to the iconic ""Bo Knows"" campaign, Danny Kass tries his hand at baseball, football, basketball and hockey (with a cameo by Snowboarder Magazine editor, Pat Bridges). \n\nSimply put, Kass should stick to what he does best: killing it on a snowboard.'","b""Danny Don't Know...""",video,http://www.youtube.com/watch?v=ibvuhCoBkZo,2011-11-17 18:02:14,0,72,63
15087023444_274732412563177,"b'Congratulations on #903, Coach K!\n\nInstead of taking credit for his own successes, Mike ""Coach K"" Krzyzewski focuses on the support he received from the very man whose record he just broke, his mentor, Bob Knight. For the lessons taught and players coached, for the 903 victories and counting, we salute you, Coach K. \n\nClick the link to hear from the record-breaking man himself. #BasketbalNeverStops'",b'http://www.youtube.com/watch?v=ezManEu3XKo',video,http://www.youtube.com/watch?v=ezManEu3XKo,2011-11-15 22:18:06,0,72,9
15087023444_10150362115353445,b'Relentless in the gym. Champion in the ring. Manny Pacquiao reigns supreme.',,status,,2011-11-13 01:50:22,0,733,38
15087023444_10150361398683445,"b""In 2003, Paula Radcliffe set the women's world record in the marathon by running a blistering time of 2:15:25. The decision to retroactively revoke her achievement because she ran with men has been overturned, and her record will now remain intact.\n\nThanks to your voice, history stands. \n\nhttp://gonike.me/6036R5KQ""",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150361398618445/?type=3,2011-11-12 14:55:56,0,108,65
15087023444_216193531782200,"b'In the summer of 2010, Nike and USA Basketball presented the inaugural World Basketball Festival in NYC. In honor of this event, Nike teamed up with the Smithsonian\'s Cooper-Hewitt National Design Museum and the teen education and empowerment program ""Make Something"" for a series of design workshops.\n\nToday, we present the Nike Hyperdunk Country Collection, a series of\nshoes proudly inspired by designs submitted by teens from these sessions.\n\nCheck out the collection now at Nike Store: http://bit.ly/rx27Av'",b'Nike',photo,https://www.facebook.com/nike/photos/a.10150359639233445.360620.15087023444/10150359640043445/?type=3,2011-11-11 13:11:55,0,83,212
15087023444_10150358531923445,"b'Now\'s your chance to get a sneak peek of what Nike Skateboarding riders Youness Amrani, Chet Childress, Clark Hassler, Stefan Janoski, Lewis Marnell, Daniel Shimizu, Grant Taylor, and Wieger Van Wageningen have been hard at work on for the past two years. The official trailer for ""The SB Chronicles, Vol. I,"" the first in a series of three new feature-length video projects, is live.\n\nClick here (http://gonike.me/SBChroniclesFB) to see the trailer, and RSVP at http://gonike.me/SBChroniclesRSVP to be part of the interactive world-wide premiere on December 3rd at 7PM EST!'",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150358531893445/?type=3,2011-11-10 18:20:03,0,60,34
15087023444_284854368212849,"b'""No matter if it\'s just working out by yourself, or playing pickup, the game never stops--no matter what you\'re doing."" -Kevin Durant\n\nThe stars of our ""Basketball Never Stops"" spot sat down with us to explain how they live, breathe, and dream the game.\n\nWatch our exclusive video, and let us know what ""Basketball Never Stops"" means to you.'","b'What does ""Basketball Never Stops"" mean?'",link,http://www.youtube.com/watch?v=L06TVwRlIF4,2011-11-07 15:52:33,0,137,112
15087023444_177690512318605,"b""When life hands you lemons, make lemonade \xe2\x80\x93 or in the case of Mackenzie, Daniel, Isaiah, Dacia, Warang and Anthony, make a shoe. \n\nWith the help of the Doernbecher Children's Hospital and Nike, these six Freestyle designers have used the considerable challenges they\xe2\x80\x99ve faced as inspiration to create a very special footwear collection.\n\nLaunching in every Nike brand experience store and online this Saturday, November 5, 2011.""",b'Nike',photo,https://www.facebook.com/nike/photos/a.10150348922273445.358703.15087023444/10150348922543445/?type=3,2011-11-03 10:14:01,0,47,96
15087023444_195312700543347,"b""This is a film about Alice. Alice never stops running.\n\n(And no, we\xe2\x80\x99re not embellishing. She. Never. Stops. Running. Watch and see what we mean.) \n\nThink you can keep up? When's the last time you hit the ground and kept going?""",b'Some Time Together',link,http://www.youtube.com/watch?v=H0Pvn5ejnRQ,2011-11-02 12:04:59,0,102,184
